Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
4/1/21,"2,450","7,647",5.71,0,715,251,6,0,996
4/2/21,"2,437","8,528",6.37,0,765,233,14,1,974
4/3/21,"2,323","6,393",4.78,0,779,203,18,2,846
4/4/21,"2,831","14,805",11.02,0,606,250,50,32,"1,515"
4/5/21,"2,499","7,183",5.37,0,742,197,39,8,"1,006"
4/6/21,"2,455","7,804",5.83,0,791,208,30,1,948
4/7/21,"2,470","7,302",5.41,0,685,201,40,0,995
4/8/21,"2,388","7,616",5.69,0,736,186,36,1,897
4/9/21,"2,257","5,658",4.23,0,874,195,6,0,740
4/10/21,"2,296","5,732",4.26,0,764,137,34,9,789
4/11/21,"2,748","11,432",8.51,0,641,271,44,6,"1,387"
4/12/21,"2,287","4,577",3.42,0,824,175,20,2,760
4/13/21,"2,687","11,777",8.8,0,646,284,42,13,"1,369"
4/14/21,"2,325","7,082",5.29,0,717,188,14,9,853
4/15/21,"3,055","10,532",7.85,0,535,386,33,1,"1,798"
4/16/21,"2,173","3,951",2.95,0,767,155,18,3,662
4/17/21,"1,060",0,0,0,942,0,0,0,0
,,,,,,,,,
Sleep,,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,
2021-04-16 2:12AM,2021-04-16 10:29AM,406,91,29,497,85,271,50,
2021-04-15 2:21AM,2021-04-15 10:26AM,417,68,36,485,74,287,56,
2021-04-14 1:40AM,2021-04-14 10:12AM,440,72,41,512,123,243,74,
2021-04-13 2:44AM,2021-04-13 10:19AM,390,65,28,455,96,207,87,
2021-04-12 3:12AM,2021-04-12 10:11AM,361,58,41,419,102,209,50,
2021-04-11 1:21AM,2021-04-11 9:19AM,413,65,38,478,117,207,89,
2021-04-10 1:40AM,2021-04-10 9:56AM,425,71,36,496,93,251,81,
2021-04-09 2:20AM,2021-04-09 8:25AM,310,55,24,365,92,137,81,
2021-04-08 1:50AM,2021-04-08 9:51AM,407,74,40,481,114,236,57,
2021-04-07 1:22AM,2021-04-07 9:56AM,439,75,37,514,92,281,66,
2021-04-06 1:46AM,2021-04-06 8:36AM,351,59,24,410,70,216,65,
2021-04-05 2:07AM,2021-04-05 9:41AM,398,56,37,454,109,247,42,
2021-04-04 2:21AM,2021-04-04 10:43AM,426,76,39,502,98,270,58,
2021-04-03 3:11AM,2021-04-03 10:29AM,378,60,39,438,115,206,57,
2021-04-02 2:52AM,2021-04-02 9:59AM,355,72,35,427,44,237,74,
2021-04-01 6:56PM,2021-04-01 7:56PM,50,10,0,60,N/A,N/A,N/A,
2021-04-01 4:03AM,2021-04-01 10:51AM,333,75,30,408,54,216,63,
